"LinkIndec","Provincia","Partido","Localidad","Tecnologia","Accesos"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","ADSL","3.147"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","CABLEMODEM","3.443"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","DIAL UP","79"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","FIBRA OPTICA","8.778"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","SATELITAL","69"
"6588100","BUENOS AIRES","9 de Julio","9 de Julio","WIRELESS","831"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","SATELITAL","17"
"6588030","BUENOS AIRES","9 de Julio","12 de Octubre","WIRELESS","19"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","ADSL","450"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","Otros","60"
"6588010","BUENOS AIRES","9 de Julio","Alfredo Demarchi  (Est. Facundo Quiroga)","SATELITAL","15"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","FIBRA OPTICA","62"
"6588020","BUENOS AIRES","9 de Julio","Carlos María Naón","SATELITAL","10"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","SATELITAL","12"
"6588040","BUENOS AIRES","9 de Julio","Dudignac","WIRELESS","474"
"6588050","BUENOS AIRES","9 de Julio","La Aurora  (Est. La Niña)","SATELITAL","13"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","ADSL","193"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","FIBRA OPTICA","1"
"6588060","BUENOS AIRES","9 de Julio","Manuel B. Gonnet  (Est. French)","SATELITAL","17"
"6588070","BUENOS AIRES","9 de Julio","Marcelino Ugarte  (Est. Dennehy)","SATELITAL","5"
"6588080","BUENOS AIRES","9 de Julio","Morea","SATELITAL","4"
"6588080","BUENOS AIRES","9 de Julio","Morea","WIRELESS","130"
"6588090","BUENOS AIRES","9 de Julio","Norumbega","SATELITAL","8"
"6588110","BUENOS AIRES","9 de Julio","Patricios","ADSL","90"
"6588110","BUENOS AIRES","9 de Julio","Patricios","FIBRA OPTICA","2"
"6588110","BUENOS AIRES","9 de Julio","Patricios","SATELITAL","7"
"6588110","BUENOS AIRES","9 de Julio","Patricios","WIRELESS","50"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","FIBRA OPTICA","210"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","SATELITAL","8"
"6588120","BUENOS AIRES","9 de Julio","Villa General Fournier  (Est. 9 de Julio Sud)","WIRELESS","42"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","ADSL","529"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","CABLEMODEM","4.600"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","FIBRA OPTICA","4"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","SATELITAL","895"
"6854100","BUENOS AIRES","25 de Mayo","25 de Mayo","WIRELESS","727"
"6854010","BUENOS AIRES","25 de Mayo","Agustín Mosconi","SATELITAL","13"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","ADSL","181"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","Otros","10"
"6854020","BUENOS AIRES","25 de Mayo","Del Valle","SATELITAL","18"
"6854030","BUENOS AIRES","25 de Mayo","Ernestina","ADSL","75"
"6854030","BUENOS AIRES","25 de Mayo","Ernestina","SATELITAL","7"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","FIBRA OPTICA","7"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","SATELITAL","8"
"6854040","BUENOS AIRES","25 de Mayo","Gobernador Ugarte","WIRELESS","225"
"6854050","BUENOS AIRES","25 de Mayo","Lucas Monteverde","SATELITAL","13"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","CABLEMODEM","782"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","FIBRA OPTICA","950"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","Otros","20"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","SATELITAL","29"
"6854060","BUENOS AIRES","25 de Mayo","Norberto de la Riestra","WIRELESS","128"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","ADSL","372"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","FIBRA OPTICA","240"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","SATELITAL","10"
"6854070","BUENOS AIRES","25 de Mayo","Pedernales","WIRELESS","7"
"6854080","BUENOS AIRES","25 de Mayo","San Enrique","SATELITAL","17"
"6854090","BUENOS AIRES","25 de Mayo","Valdés","SATELITAL","23"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","ADSL","732"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","DIAL UP","1"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","FIBRA OPTICA","1.417"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","Otros","1"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","SATELITAL","25"
"6007010","BUENOS AIRES","Adolfo Alsina","Carhué","WIRELESS","1.073"
"6007020","BUENOS AIRES","Adolfo Alsina","Colonia San Miguel Arcángel","FIBRA OPTICA","208"
"6007020","BUENOS AIRES","Adolfo Alsina","Colonia San Miguel Arcángel","SATELITAL","9"
"6007030","BUENOS AIRES","Adolfo Alsina","Delfín Huergo","SATELITAL","4"
"6007050","BUENOS AIRES","Adolfo Alsina","Esteban Agustín Gascón","FIBRA OPTICA","60"
"6007050","BUENOS AIRES","Adolfo Alsina","Esteban Agustín Gascón","SATELITAL","3"
"6007060","BUENOS AIRES","Adolfo Alsina","La Pala","SATELITAL","3"
"6007070","BUENOS AIRES","Adolfo Alsina","Maza","FIBRA OPTICA","390"
"6007070","BUENOS AIRES","Adolfo Alsina","Maza","SATELITAL","17"
"6007070","BUENOS AIRES","Adolfo Alsina","Maza","WIRELESS","14"
"6007080","BUENOS AIRES","Adolfo Alsina","Rivera","FIBRA OPTICA","1.310"
"6007080","BUENOS AIRES","Adolfo Alsina","Rivera","SATELITAL","9"
"6007010","BUENOS AIRES","Adolfo Alsina","Thames","SATELITAL","3"
"6007100","BUENOS AIRES","Adolfo Alsina","Villa Margarita","SATELITAL","2"
"6007110","BUENOS AIRES","Adolfo Alsina","Yutuyaco","SATELITAL","18"
"6014010","BUENOS AIRES","Adolfo Gonzales Chaves","Adolfo Gonzales Chaves  (Est. Chaves)","ADSL","355"
"6014010","BUENOS AIRES","Adolfo Gonzales Chaves","Adolfo Gonzales Chaves  (Est. Chaves)","DIAL UP","2"
"6014010","BUENOS AIRES","Adolfo Gonzales Chaves","Adolfo Gonzales Chaves  (Est. Chaves)","FIBRA OPTICA","943"
"6014010","BUENOS AIRES","Adolfo Gonzales Chaves","Adolfo Gonzales Chaves  (Est. Chaves)","SATELITAL","34"
"6014010","BUENOS AIRES","Adolfo Gonzales Chaves","Adolfo Gonzales Chaves  (Est. Chaves)","WIRELESS","690"
"6014020","BUENOS AIRES","Adolfo Gonzales Chaves","De la Garma","FIBRA OPTICA","689"
"6014020","BUENOS AIRES","Adolfo Gonzales Chaves","De la Garma","SATELITAL","18"
"6014020","BUENOS AIRES","Adolfo Gonzales Chaves","De la Garma","WIRELESS","53"
"6014030","BUENOS AIRES","Adolfo Gonzales Chaves","Juan E. Barra","SATELITAL","13"
"6014030","BUENOS AIRES","Adolfo Gonzales Chaves","Juan E. Barra","WIRELESS","48"
"6014040","BUENOS AIRES","Adolfo Gonzales Chaves","Vásquez","SATELITAL","3"
"6014040","BUENOS AIRES","Adolfo Gonzales Chaves","Vásquez","WIRELESS","14"
"6021010","BUENOS AIRES","Alberti","Alberti   (Est. Andrés Vaccarezza)","ADSL","199"
"6021010","BUENOS AIRES","Alberti","Alberti   (Est. Andrés Vaccarezza)","DIAL UP","5"
"6021010","BUENOS AIRES","Alberti","Alberti   (Est. Andrés Vaccarezza)","FIBRA OPTICA","1"
"6021010","BUENOS AIRES","Alberti","Alberti   (Est. Andrés Vaccarezza)","SATELITAL","16"
"6021010","BUENOS AIRES","Alberti","Alberti   (Est. Andrés Vaccarezza)","WIRELESS","2"
"6021020","BUENOS AIRES","Alberti","Coronel Seguí","SATELITAL","2"
"6021020","BUENOS AIRES","Alberti","Coronel Seguí","WIRELESS","5"
"6021030","BUENOS AIRES","Alberti","Mechita","ADSL","285"
"6021030","BUENOS AIRES","Alberti","Mechita","SATELITAL","7"
"6021040","BUENOS AIRES","Alberti","Pla","SATELITAL","4"
"6021050","BUENOS AIRES","Alberti","Villa Grisolía  (Est. Achupallas)","SATELITAL","9"
"6021060","BUENOS AIRES","Alberti","Villa María","SATELITAL","1"
"6021070","BUENOS AIRES","Alberti","Villa Ortiz  (Est. Coronel Mom)","SATELITAL","1"
"6021070","BUENOS AIRES","Alberti","Villa Ortiz  (Est. Coronel Mom)","WIRELESS","24"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","ADSL","17"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","CABLEMODEM","9.137"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","DIAL UP","47"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","FIBRA OPTICA","13.738"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","Otros","103"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","SATELITAL","17"
"6028010","BUENOS AIRES","Almirante Brown","Adrogué","WIRELESS","26"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","ADSL","29"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","CABLEMODEM","16.071"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","DIAL UP","35"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","FIBRA OPTICA","14.148"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","Otros","9"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","SATELITAL","43"
"6028010","BUENOS AIRES","Almirante Brown","Burzaco","WIRELESS","279"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","ADSL","3"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","CABLEMODEM","7.533"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","DIAL UP","3"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","FIBRA OPTICA","5.217"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","Otros","2"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","SATELITAL","2"
"6028010","BUENOS AIRES","Almirante Brown","Claypole","WIRELESS","2"
"6028010","BUENOS AIRES","Almirante Brown","Don Orione","CABLEMODEM","5.404"
"6028010","BUENOS AIRES","Almirante Brown","Don Orione","Otros","25"
"6028010","BUENOS AIRES","Almirante Brown","Don Orione","SATELITAL","11"
"6028010","BUENOS AIRES","Almirante Brown","Don Orione","WIRELESS","1"
"6028010","BUENOS AIRES","Almirante Brown","Glew","CABLEMODEM","8.757"
"6028010","BUENOS AIRES","Almirante Brown","Glew","DIAL UP","9"
"6028010","BUENOS AIRES","Almirante Brown","Glew","FIBRA OPTICA","13.483"
"6028010","BUENOS AIRES","Almirante Brown","Glew","SATELITAL","16"
"6028010","BUENOS AIRES","Almirante Brown","Glew","WIRELESS","54"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","CABLEMODEM","7.267"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","DIAL UP","1"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","FIBRA OPTICA","1.877"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","Otros","2"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","SATELITAL","2"
"6028010","BUENOS AIRES","Almirante Brown","Jose Mármol","WIRELESS","1"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","ADSL","14"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","CABLEMODEM","8.882"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","DIAL UP","20"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","FIBRA OPTICA","9.572"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","Otros","24"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","SATELITAL","16"
"6028010","BUENOS AIRES","Almirante Brown","Longchamps","WIRELESS","1"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","ADSL","1"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","CABLEMODEM","4.545"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","DIAL UP","2"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","FIBRA OPTICA","1.960"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","Otros","4"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","SATELITAL","5"
"6028010","BUENOS AIRES","Almirante Brown","Malvinas Argentinas","WIRELESS","1"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","ADSL","2"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","CABLEMODEM","3.489"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","DIAL UP","3"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","FIBRA OPTICA","5.001"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","Otros","1"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","SATELITAL","19"
"6028010","BUENOS AIRES","Almirante Brown","Ministro Rivadavia","WIRELESS","1"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","ADSL","7"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","CABLEMODEM","10.808"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","DIAL UP","14"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","FIBRA OPTICA","11.227"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","Otros","1"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","SATELITAL","3"
"6028010","BUENOS AIRES","Almirante Brown","Rafael Calzada","WIRELESS","340"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","ADSL","2"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","CABLEMODEM","4.234"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","DIAL UP","4"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","FIBRA OPTICA","6.037"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","Otros","1"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","SATELITAL","1"
"6028010","BUENOS AIRES","Almirante Brown","San Francisco Solano","WIRELESS","2"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","ADSL","1"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","CABLEMODEM","8.640"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","DIAL UP","1"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","FIBRA OPTICA","1.845"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","Otros","1"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","SATELITAL","8"
"6028010","BUENOS AIRES","Almirante Brown","San Jose","WIRELESS","1"
"0","BUENOS AIRES","AMBA","Otros","CABLEMODEM","0"
"0","BUENOS AIRES","AMBA","Otros","OTROS","0"
"0","BUENOS AIRES","AMBA","Otros","WIRELESS","13"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","ADSL","615"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","CABLEMODEM","1.295"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","DIAL UP","12"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","FIBRA OPTICA","7.422"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","SATELITAL","74"
"6077010","BUENOS AIRES","Arrecifes","Arrecifes","WIRELESS","1.210"
"6077020","BUENOS AIRES","Arrecifes","Todd","FIBRA OPTICA","353"
"6077020","BUENOS AIRES","Arrecifes","Todd","SATELITAL","4"
"6077030","BUENOS AIRES","Arrecifes","Viña","ADSL","50"
"6077030","BUENOS AIRES","Arrecifes","Viña","SATELITAL","8"
"6077030","BUENOS AIRES","Arrecifes","Viña","WIRELESS","25"
"6035010","BUENOS AIRES","Avellaneda","Area Reserva Cinturón Ecológico","SATELITAL","25"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","ADSL","119"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","CABLEMODEM","8.282"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","DIAL UP","42"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","FIBRA OPTICA","9.010"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","Otros","85"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","SATELITAL","36"
"6035010","BUENOS AIRES","Avellaneda","Avellaneda","WIRELESS","71"
"6035010","BUENOS AIRES","Avellaneda","Crucesita","ADSL","1"
"6035010","BUENOS AIRES","Avellaneda","Crucesita","CABLEMODEM","4.686"
"6035010","BUENOS AIRES","Avellaneda","Crucesita","FIBRA OPTICA","3.297"
"6035010","BUENOS AIRES","Avellaneda","Crucesita","Otros","37"
"6035010","BUENOS AIRES","Avellaneda","Crucesita","SATELITAL","10"
"6035010","BUENOS AIRES","Avellaneda","Dock Sud","ADSL","11"
"6035010","BUENOS AIRES","Avellaneda","Dock Sud","CABLEMODEM","593"
"6035010","BUENOS AIRES","Avellaneda","Dock Sud","FIBRA OPTICA","1.913"
"6035010","BUENOS AIRES","Avellaneda","Dock Sud","SATELITAL","51"
"6035010","BUENOS AIRES","Avellaneda","Dock Sud","WIRELESS","26"
"6035010","BUENOS AIRES","Avellaneda","Gerli","ADSL","3"
"6035010","BUENOS AIRES","Avellaneda","Gerli","CABLEMODEM","5.420"
"6035010","BUENOS AIRES","Avellaneda","Gerli","FIBRA OPTICA","5.103"
"6035010","BUENOS AIRES","Avellaneda","Gerli","Otros","4"
"6035010","BUENOS AIRES","Avellaneda","Gerli","SATELITAL","15"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","ADSL","9"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","CABLEMODEM","5.359"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","DIAL UP","1"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","FIBRA OPTICA","2.858"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","Otros","3"
"6035010","BUENOS AIRES","Avellaneda","Pineyro","SATELITAL","9"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","ADSL","23"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","CABLEMODEM","8.997"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","DIAL UP","56"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","FIBRA OPTICA","15.854"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","Otros","37"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","SATELITAL","31"
"6035010","BUENOS AIRES","Avellaneda","Sarandí","WIRELESS","1"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","ADSL","15"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","CABLEMODEM","8.007"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","DIAL UP","2"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","FIBRA OPTICA","7.693"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","Otros","8"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","SATELITAL","17"
"6035010","BUENOS AIRES","Avellaneda","Villa Domínico","WIRELESS","572"
"6035010","BUENOS AIRES","Avellaneda","Wilde","ADSL","9"
"6035010","BUENOS AIRES","Avellaneda","Wilde","CABLEMODEM","11.565"
"6035010","BUENOS AIRES","Avellaneda","Wilde","DIAL UP","60"
"6035010","BUENOS AIRES","Avellaneda","Wilde","FIBRA OPTICA","19.201"
"6035010","BUENOS AIRES","Avellaneda","Wilde","Otros","4"
"6035010","BUENOS AIRES","Avellaneda","Wilde","SATELITAL","17"
"6035010","BUENOS AIRES","Avellaneda","Wilde","WIRELESS","114"
"6042010","BUENOS AIRES","Ayacucho","Ayacucho","ADSL","1.439"
"6042010","BUENOS AIRES","Ayacucho","Ayacucho","DIAL UP","2"
"6042010","BUENOS AIRES","Ayacucho","Ayacucho","FIBRA OPTICA","1"
"6042010","BUENOS AIRES","Ayacucho","Ayacucho","SATELITAL","85"
"6042010","BUENOS AIRES","Ayacucho","Ayacucho","WIRELESS","142"
"6042020","BUENOS AIRES","Ayacucho","La Constancia","SATELITAL","25"
"6042020","BUENOS AIRES","Ayacucho","La Constancia","WIRELESS","10"
"6042030","BUENOS AIRES","Ayacucho","Solanet","SATELITAL","27"
"6042030","BUENOS AIRES","Ayacucho","Solanet","WIRELESS","27"
"6042040","BUENOS AIRES","Ayacucho","Udaquiola","SATELITAL","32"
"6042040","BUENOS AIRES","Ayacucho","Udaquiola","WIRELESS","46"
"6049050","BUENOS AIRES","Azul","16 de Julio","SATELITAL","7"
"6049010","BUENOS AIRES","Azul","Ariel","SATELITAL","5"
"6049020","BUENOS AIRES","Azul","Azul","ADSL","615"
"6049020","BUENOS AIRES","Azul","Azul","CABLEMODEM","15.377"
"6049020","BUENOS AIRES","Azul","Azul","DIAL UP","46"
"6049020","BUENOS AIRES","Azul","Azul","FIBRA OPTICA","79"
"6049020","BUENOS AIRES","Azul","Azul","Otros","14"
"6049020","BUENOS AIRES","Azul","Azul","SATELITAL","168"
"6049020","BUENOS AIRES","Azul","Azul","WIRELESS","1.145"
"6049030","BUENOS AIRES","Azul","Cacharí","DIAL UP","2"
"6049030","BUENOS AIRES","Azul","Cacharí","SATELITAL","42"
"6049030","BUENOS AIRES","Azul","Cacharí","WIRELESS","521"
"6049040","BUENOS AIRES","Azul","Chillar","FIBRA OPTICA","1"
"6049040","BUENOS AIRES","Azul","Chillar","SATELITAL","64"
"6049040","BUENOS AIRES","Azul","Chillar","WIRELESS","565"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","ADSL","2.090"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","CABLEMODEM","100.151"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","DIAL UP","360"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","FIBRA OPTICA","22.670"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","Otros","61"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","SATELITAL","466"
"6056010","BUENOS AIRES","Bahía Blanca","Bahía Blanca","WIRELESS","3.657"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","CABLEMODEM","193"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","DIAL UP","4"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","FIBRA OPTICA","210"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","Otros","1"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","SATELITAL","5"
"6056020","BUENOS AIRES","Bahía Blanca","Cabildo","WIRELESS","66"
"6056030","BUENOS AIRES","Bahía Blanca","General Daniel Cerri  (Est. General Cerri)","ADSL","191"
"6056030","BUENOS AIRES","Bahía Blanca","General Daniel Cerri  (Est. General Cerri)","CABLEMODEM","1.746"
"6056030","BUENOS AIRES","Bahía Blanca","General Daniel Cerri  (Est. General Cerri)","FIBRA OPTICA","2"
"6056030","BUENOS AIRES","Bahía Blanca","General Daniel Cerri  (Est. General Cerri)","SATELITAL","53"
"6056030","BUENOS AIRES","Bahía Blanca","General Daniel Cerri  (Est. General Cerri)","WIRELESS","14"
"6056020","BUENOS AIRES","Bahía Blanca","Grunbein","SATELITAL","93"
"6056020","BUENOS AIRES","Bahía Blanca","Ingeniero White","FIBRA OPTICA","1"
"6056020","BUENOS AIRES","Bahía Blanca","Ingeniero White","SATELITAL","70"
"6056020","BUENOS AIRES","Bahía Blanca","Villa Bordeau","SATELITAL","53"
"6056020","BUENOS AIRES","Bahía Blanca","Villa Espora","SATELITAL","5"
"6063010","BUENOS AIRES","Balcarce","Balcarce","ADSL","1.038"
"6063010","BUENOS AIRES","Balcarce","Balcarce","CABLEMODEM","12.098"
"6063010","BUENOS AIRES","Balcarce","Balcarce","DIAL UP","32"
"6063010","BUENOS AIRES","Balcarce","Balcarce","FIBRA OPTICA","45"
"6063010","BUENOS AIRES","Balcarce","Balcarce","Otros","9"
"6063010","BUENOS AIRES","Balcarce","Balcarce","SATELITAL","195"
"6063010","BUENOS AIRES","Balcarce","Balcarce","WIRELESS","883"
"6063020","BUENOS AIRES","Balcarce","Los Pinos","Otros","9"
"6063020","BUENOS AIRES","Balcarce","Los Pinos","SATELITAL","18"
"6063020","BUENOS AIRES","Balcarce","Los Pinos","WIRELESS","30"
"6063030","BUENOS AIRES","Balcarce","Napaleofú","FIBRA OPTICA","15"
"6063030","BUENOS AIRES","Balcarce","Napaleofú","SATELITAL","21"
"6063030","BUENOS AIRES","Balcarce","Napaleofú","WIRELESS","128"
"6063040","BUENOS AIRES","Balcarce","Ramos Otero","SATELITAL","22"
"6063040","BUENOS AIRES","Balcarce","Ramos Otero","WIRELESS","8"
"6063050","BUENOS AIRES","Balcarce","San Agustín","Otros","3"
"6063050","BUENOS AIRES","Balcarce","San Agustín","SATELITAL","14"
"6063050","BUENOS AIRES","Balcarce","San Agustín","WIRELESS","72"
"6063060","BUENOS AIRES","Balcarce","Villa Laguna La Brava","SATELITAL","34"
"6063060","BUENOS AIRES","Balcarce","Villa Laguna La Brava","WIRELESS","42"
"6070010","BUENOS AIRES","Baradero","Baradero","ADSL","573"
"6070010","BUENOS AIRES","Baradero","Baradero","CABLEMODEM","7.513"
"6070010","BUENOS AIRES","Baradero","Baradero","FIBRA OPTICA","209"
"6070010","BUENOS AIRES","Baradero","Baradero","SATELITAL","165"
"6070010","BUENOS AIRES","Baradero","Baradero","WIRELESS","1.858"
"6070020","BUENOS AIRES","Baradero","Irineo Portela","SATELITAL","22"
"6070020","BUENOS AIRES","Baradero","Irineo Portela","WIRELESS","78"
"6070030","BUENOS AIRES","Baradero","Santa Coloma","SATELITAL","35"
"6070030","BUENOS AIRES","Baradero","Santa Coloma","WIRELESS","55"
"6070040","BUENOS AIRES","Baradero","Villa Alsina  (Est. Alsina)","ADSL","79"
"6070040","BUENOS AIRES","Baradero","Villa Alsina  (Est. Alsina)","FIBRA OPTICA","1"
"6070040","BUENOS AIRES","Baradero","Villa Alsina  (Est. Alsina)","Otros","10"
"6070040","BUENOS AIRES","Baradero","Villa Alsina  (Est. Alsina)","SATELITAL","31"
"6070040","BUENOS AIRES","Baradero","Villa Alsina  (Est. Alsina)","WIRELESS","248"
"6084010","BUENOS AIRES","Benito Juárez","Barker","DIAL UP","1"
"6084010","BUENOS AIRES","Benito Juárez","Barker","FIBRA OPTICA","11"
"6084010","BUENOS AIRES","Benito Juárez","Barker","SATELITAL","9"
"6084010","BUENOS AIRES","Benito Juárez","Barker","WIRELESS","70"
"6084020","BUENOS AIRES","Benito Juárez","Benito Juárez  (Est. Juárez)","ADSL","279"
"6084020","BUENOS AIRES","Benito Juárez","Benito Juárez  (Est. Juárez)","DIAL UP","13"
"6084020","BUENOS AIRES","Benito Juárez","Benito Juárez  (Est. Juárez)","FIBRA OPTICA","563"
"6084020","BUENOS AIRES","Benito Juárez","Benito Juárez  (Est. Juárez)","Otros","4"
